battlestar 1 0.0 0.0 30.0 10.0 false 0.0 0.0 0.0 0.0
viper      20 0.0 0.0 0.0 0.0 true 18.0 18.0 2.0 0.1
raider     1 23.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 21.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 19.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 17.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 15.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 13.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 11.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 09.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 07.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 05.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 03.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 01.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 -01.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 -03.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 -05.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 -07.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 -09.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 -11.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 -13.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 -15.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 -17.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 -19.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 -21.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
raider     1 -23.0 0.0 -100.0 1.0 false 0.0 0.0 0.0 0.0
